snr_db,mode_id,modulation,light_blocks_per_seed,deep_blocks_per_seed,light_pooled_blocks,deep_pooled_blocks,light_ber,deep_ber,ber_diff,ber_abs_diff,light_se,deep_se,se_reduction_ratio,se_reduction_pct,light_ci95_low,light_ci95_high,light_ci95_width,deep_ci95_low,deep_ci95_high,deep_ci95_width,ci95_width_reduction_pct,light_overlaps_target,deep_overlaps_target,overlap_status_changed,light_ci_eligible,deep_ci_eligible,eligibility_changed
22.5,0,BPSK,10000,70000,20000,140000,0.00124755859375,0.001365415736607143,0.00011785714285714286,0.00011785714285714286,0.00010539116324410275,4.2143849304702005e-05,2.5007483887416098,60.01197063638995,0.0010409919137915587,0.0014541252737084415,0.00041313335991688275,0.001282813791969927,0.001448017681244359,0.00016520388927443192,60.01197063638993,False,False,False,True,True,False
22.5,1,QPSK,10000,70000,20000,140000,0.0025823404947916666,0.002729366629464286,0.00014702613467261916,0.00014702613467261916,0.0001503059632529439,5.9155859862933275e-05,2.5408465636575888,60.64303865084698,0.0022877408068158966,0.0028769401827674367,0.0005891993759515402,0.002613421144132937,0.002845312114795635,0.000231890970662698,60.64303865084706,False,False,False,True,True,False
22.5,2,16QAM,10000,70000,20000,140000,0.010417415364583333,0.010633526320684523,0.0002161109561011898,0.0002161109561011898,0.0002775092096976861,0.00010727479794579724,2.5869003252553617,61.343698083872376,0.009873497313575869,0.010961333415590798,0.0010878361020149295,0.01042326771671076,0.010843784924658286,0.000420517207947526,61.34369808387231,True,False,True,False,False,False
22.5,3,64QAM,10000,70000,20000,140000,0.032085465494791666,0.03232224779885913,0.00023678230406746353,0.00023678230406746353,0.0004317981202782918,0.00016500726246613176,2.616843124507442,61.786016493127526,0.031239141179046213,0.03293178981053712,0.0016926486314909062,0.03199883356442551,0.03264566203329275,0.0006468284688672388,61.78601649312745,False,False,False,False,False,False
23.0,0,BPSK,10000,70000,20000,140000,0.0013016276041666666,0.0012512044270833332,-5.042317708333342e-05,5.042317708333342e-05,0.00010660268164450597,4.06350854006732e-05,2.62341473121993,61.88174183443026,0.001092686348143435,0.0015105688601898984,0.00041788251204646345,0.0011715596596980138,0.0013308491944686526,0.00015928953477063875,61.88174183443033,False,False,False,True,True,False
23.0,1,QPSK,10000,70000,20000,140000,0.0026193684895833335,0.002480947730654762,-0.00013842075892857167,0.00013842075892857167,0.00015198012205115032,5.6745234191307155e-05,2.678288744721266,62.66272626613036,0.002321487450363079,0.002917249528803588,0.000595762078440509,0.0023697270716398,0.0025921683896697237,0.00022244131802992388,62.66272626613038,False,False,False,True,True,False
23.0,2,16QAM,10000,70000,20000,140000,0.009922941080729168,0.009555690801711309,-0.0003672502790178587,0.0003672502790178587,0.00027737149125932234,0.00010259740133694913,2.7034943151082578,63.01083400059021,0.009379292957860896,0.01046658920359744,0.0010872962457365437,0.009354599895090888,0.00975678170833173,0.0004021818132408407,63.01083400059021,True,False,True,False,True,True
23.0,3,64QAM,10000,70000,20000,140000,0.029791731770833333,0.02917837844122024,-0.0006133533296130943,0.0006133533296130943,0.0004266912566546454,0.00015848538044943802,2.6923067316658504,62.85712960420169,0.02895541690779023,0.030628046633876436,0.001672629726086207,0.02886774709553934,0.029489009786901138,0.0006212626913617986,62.857129604201546,False,False,False,False,False,False
23.5,0,BPSK,10000,70000,20000,140000,0.0012651041666666668,0.0011339425223214285,-0.00013116164434523827,0.00013116164434523827,0.0001074157782824223,3.828087912974964e-05,2.805990372330428,64.36195897673444,0.001054569241233119,0.0014756390921002146,0.0004210698508670956,0.0010589119992271193,0.0012089730454157377,0.0001500610461886184,64.36195897673448,False,False,False,True,True,False
23.5,1,QPSK,10000,70000,20000,140000,0.0023845377604166666,0.0022451427641369047,-0.00013939499627976196,0.00013939499627976196,0.00015016590738826645,5.407315656411084e-05,2.7770878737257556,63.99105662225967,0.0020902125819356643,0.002678862938897669,0.0005886503569620047,0.0021391593772712475,0.002351126151002562,0.00021196677373131433,63.99105662225971,False,False,False,True,True,False
